sp,SVL_max,SVL_mean
Agalychnis callidryas,59,45.9
Amolops panhai ,34,32.6
Atelopus flavescens ,30,28
Atelopus pulcher ,29.3,27.27
Batrachyla antartandica,36.7,35.1
Boophis xerophilus,38.7,36.6
Bufo calamita,71,65.8
Cardioglossa occidentalis ,27.3,26.1
Centrolene buckleyi ,34.7,30.2
Chiromantis doriae,26.5,24.5
Crossodactylus caramaschii ,25.8,24.5
Dendropsophus brevifrons,22,17.5
Duellmanohyla rufioculis ,30,26.65
Espadarana prosoblepon ,28,26.5
Exerodonta melanomma ,29.9,27.25
Fejervarya syhadrensis,30.9,27.8
Hyalinobatrachium ignioculus ,23,21.6
Hylomantis lemur,40.8,35.5
Hyloscirtus tapichalaca ,63.8,61.8
Hypsiboas microderma ,32.7,31.7
Isthmohyla pseudopuma,41.4,39.7
Leptodactylus mystacinus,65,54.1
Leptopelis kivuensis,37,32.6
Litoria spartacus ,37.5,36.77
Nymphargus griffithsi ,26.5,25.3
Paratelmatobius cardosoi,17.9,17.4
Phyllomedusa atelopoides,37.4,36.9
Physalaemus barrioi,29.45,26.67
Proceratophrys cururu ,43.1,38.86
Pseudacris fouquettei,29.8,26.4
Scinax crospedospilus,33.3,31
Smilisca puma,38.1,34.8
Teratohyla pulverata ,29,25.5
Tomopterna krugerensis,44.8,41.3
Vitreorana eurygnatha ,21.7,20.4
Cycloramphus boraceiensis ,51.3,43.4
Sphaerotheca breviceps,48,45.5
Aplastodiscus albofrenatus ,30.7,27.6
